id,customer,price
487,tkn,2976
488,ktn,4403
489,yfh,835
490,wgg,50
491,mty,1368
492,znk,4994
493,xhj,1095
494,gpx,707
495,yqh,2506
496,mfy,3238
497,sls,247
498,wgp,3897
499,nny,2004
500,xkx,1390
501,yrp,428
502,cdp,688
503,kxz,3409
504,xlt,3924
505,hks,2594
506,ngx,1512
507,zdx,448
508,jjc,3402
509,lqh,3533
510,gms,2722
511,mbb,2014
512,cnb,4804
513,pwk,2724
514,wxc,4318
515,kqr,1
516,qhs,3024
517,rrb,4373
518,wwl,1421
519,cpj,1608
520,sxl,1123
521,lfz,3695
522,tjg,4006
523,ksn,3081
524,gkg,625
525,bgy,2035
526,xnt,1605
527,mgz,4709
528,cjp,2282
529,tjb,3715
530,mww,2960
531,xrr,103
532,kjn,1305
533,jmy,4170
534,kls,4776
535,ymn,2387
536,lfs,4911
537,hnj,1502
538,dlc,2406
539,qmn,1125
540,jwn,4077
541,hcf,3130
542,qxb,340
543,ntp,3796
544,zff,1918
545,xcz,3459
546,ywr,2602
547,qpd,2581
548,bfk,4492
549,ksx,833
550,sfp,795
551,qsd,4523
552,bzp,676
553,dyn,2048
554,qfw,1491
555,fdn,1136
556,kml,793
557,qdg,2152
558,pmr,1021
559,jpx,468
560,cbx,3361
561,pjw,3163
562,cjh,2174
563,wpd,3672
564,ghf,2816
565,jhn,1725
566,wpy,100
567,btj,3946
568,dnh,4196
569,ynz,4220
570,fbz,4904
571,wmk,2640
572,dxy,4425
573,nhm,2050
574,ykw,4093
575,wcn,202
576,ydt,4459
577,dkb,280
578,mjx,3479
579,bwf,2417
580,yfs,1212
581,mmn,2191
582,scp,1395
583,xdp,2842
584,qmc,2501
585,pnj,4194
586,mwg,1156
587,bbk,2551
588,ljp,4628
589,crh,2537
590,pjy,7
591,qyx,2476
592,tmx,2700
593,rjn,1624
594,fwm,4599
595,lds,1574
596,lwg,1552
597,mgn,4989
598,fmy,2393
599,lhw,1439
600,dkd,1871
601,zfn,208
602,snn,2002
603,jlt,2434
604,gdb,1961
605,jcb,3521
606,prc,391
607,xsm,2839
608,ssn,427
609,whq,3142
610,qxf,505
611,mdp,4839
612,rsk,4402
613,gty,1020
614,hbs,517
615,hll,4578
616,dyz,2769
617,jgs,784
618,mnh,4014
619,klb,2785
620,mpn,2211
621,rnr,1564
622,ycs,3658
623,bwh,399
624,qkf,4461
625,sqz,1449
626,pln,3389
627,xnk,2846
628,tdd,1203
629,wtx,1308
630,cfd,2748
631,rsp,919
632,psn,105
633,ggq,3722
634,dzp,2560
635,zlg,410
636,pwj,1299
637,xyc,1832
638,xnm,1933
639,pmd,31
640,lpt,249
641,lmc,28
642,bll,1512
643,ryq,672
644,yjm,1717
645,msr,1048
646,tlc,1769
647,sfh,1543
648,fth,661
649,gdc,1027
650,xzz,1243
651,bgd,389
652,ctf,3473
653,cdw,67
654,lwm,881
655,ljw,120
656,xyg,3220
657,jdm,4802
658,rbf,446
659,fgb,167
660,tml,4815
661,msq,2849
662,jrl,3934
663,qkj,1039
664,smh,4033
665,pmm,3036
666,pwn,4454
667,sdd,251
668,jxt,1689
669,ygd,181
670,jhg,1783
671,czx,711
672,nzd,4599
673,nzg,2943
674,cdn,4280
675,rtp,2423
676,ync,1503
677,qkw,1840
678,bdd,2433
679,zmz,3899
680,srw,2070
681,qnk,2301
682,yfj,2376
683,xzb,1074
684,jyg,4509
685,hzr,2452
686,sdz,1590
687,zrd,441
688,syt,1542
689,cfp,3018
690,jps,1295
691,dxd,2928
692,kzp,1687
693,nkf,4165
694,jhr,1432
695,pft,4440
696,nqn,1991
697,zbx,262
698,nnn,2004
699,qpj,2848
700,cwf,1819
701,qnm,1389
702,lxx,4697
703,yqx,2994
704,prx,1210
705,rrn,2550
706,ptk,4502
707,fqd,753
708,gll,3536
709,yyp,272
710,lgf,4398
711,thb,4961
712,myk,2429
713,ffn,942
714,btp,4267
715,fxx,3970
716,lph,3640
717,ljn,4719
718,mxz,2529
719,wxr,498
720,mzs,2660
721,pkx,1575
722,lfr,1764
723,xpm,3634
724,rgh,2019
725,xtd,730
726,qfn,1551
727,xxl,1731
728,gbk,3068
729,lst,4615
730,nqc,4086
731,szd,4344
732,ljp,2583
733,cfx,1378
734,rqz,1697
735,rkd,273
736,lpw,2386
737,ltw,3584
738,rtw,3709
739,xbw,744
740,bkm,4084
741,pml,213
742,ytx,3594
743,ybb,1817
744,qqs,4893
745,wbr,776
746,bsh,4829
747,rbn,756
748,xqh,1733
749,tht,2952
750,ylz,4573
751,htn,3825
752,ffg,4424
753,fkm,521
754,skf,2661
755,wwf,4899
756,zqp,397
757,jjr,527
758,lqh,1921
759,mlq,2223
760,hrx,1350
761,tyb,1403
762,byh,1017
763,trc,642
764,jtc,127
765,jlk,3314
766,pxd,3007
767,xff,705
768,tws,772
769,kdg,1486
770,qsb,3718
771,tbt,1940
772,qsx,3754
773,jth,2958
774,cty,336
775,gms,4653
776,nmj,4576
777,gzt,3914
778,rdp,2939
779,ddd,1089
780,hzk,11
781,bdl,4014
782,jrb,1330
783,czd,1963
784,dhy,3606
785,yxt,2525
786,bsg,3286
787,cbr,217
788,rdf,4135
789,fpd,1096
790,wtc,530
791,cwn,4419
792,xmx,4375
793,bsz,4083
794,rnt,715
795,cyt,3582
796,rnw,2786
797,swj,1632
798,hjq,4896
799,wfm,222
800,ljz,18
801,zzn,2959
802,xsc,568
803,plk,2860
804,hbk,4585
805,yfk,2404
806,jhn,1854
807,nmb,1348
808,hqs,3145
809,syp,242
810,xds,2850
811,lyl,2993
812,dlx,4959
813,ttj,982
814,kkf,2122
815,cxw,764
816,rmq,1369
817,lcc,300
818,rgj,84
819,hrg,1518
820,fdb,1467
821,jfm,197
822,xxt,2152
823,dpw,2570
824,bck,2120
825,qzm,3975
826,qxr,4627
827,gkt,211
828,rtt,2248
829,wnp,1769
830,fsr,2393
831,bdp,1096
832,pnj,1367
833,wbs,1123
834,dqr,1156
835,pmf,380
836,gsq,4218
837,wxj,1590
838,wgc,1140
839,jwz,3969
840,jgs,2337
841,msg,3820
842,kqj,4790
843,hbt,4330
844,mbw,3553
845,frc,4150
846,lrg,2917
847,ypy,1883
848,pgy,593
849,zsf,3157
850,wgj,1439
851,frn,834
852,cpd,832
853,rhj,4083
854,hxx,2534
855,mwq,3242
856,tqw,770
857,ppr,3197
858,mzk,1966
859,plj,3850
860,xxc,1808
861,lhg,1654
862,cct,1101
863,sll,3586
864,xkr,1052
865,hgk,4609
866,kks,4267
867,xrg,3114
868,dqt,4398
869,htd,453
870,pzn,377
871,qmt,2364
872,xly,2385
873,mtp,162
874,fpx,825
875,wyw,4691
876,glc,64
877,bfy,8
878,xbj,216
879,crw,1356
880,gsc,2137
881,ptj,2914
882,gxy,4567
883,yhk,4856
884,hcw,4395
885,cyb,4739
886,fpq,2483
887,wxp,3906
888,xmf,2837
889,htk,665
890,lxf,678
891,dwc,224
892,mxb,4588
893,bfz,3439
894,yjq,2837
895,tjq,4955
896,spd,1474
897,gnh,3168
898,sfg,2631
899,qhw,4992
900,mwb,2331
901,tkn,1324
902,xml,4380
903,rqq,1696
904,jnb,2268
905,khd,3188
906,ghd,4853
907,kkx,767
908,sgg,434
909,fwh,743
910,gwz,3228
911,gpf,559
912,ygf,1075
913,ypd,4323
914,sjd,3218
915,hyl,2082
916,jbt,1572
917,bxj,1118
918,lkz,1368
919,xtq,2029
920,ptk,2465
921,hkt,518
922,nqm,1030
923,pkr,1478
924,kyx,649
925,dpd,4628
926,jrn,4276
927,rkh,2973
928,xfw,2002
929,jxz,3280
930,mrg,1924
931,wgp,4378
932,qmp,4773
933,lfm,3960
934,zrf,2814
935,mst,1737
936,pbk,2491
937,jnm,2993
938,lqn,2964
939,lhl,1262
940,xpr,3552
941,zlr,4439
942,cxt,1240
943,kym,2085
944,nmd,886
945,txz,4660
946,ddz,1922
947,wdf,3707
948,mql,3925
949,mxw,644
950,gbx,4001
951,mmb,2922
952,nkq,688
953,cgb,4250
954,kwd,4382
955,szg,332
956,hmy,2834
957,mcf,3275
958,skr,389
959,ysg,4176
960,syf,2585
961,pmd,3472
962,txg,2546
963,mwc,2913
964,snp,988
965,qqq,813
966,qbg,1840
967,ybl,1155
968,dhj,3079
969,hwr,2725
970,pmp,3621
971,hdn,3521
972,ffk,333
973,trr,2722
974,thg,4354
975,syq,1459
976,pky,4545
977,ymb,4530
978,rsm,2561
979,mkf,1057
980,ntc,3939
981,kjk,2949
982,gdc,4839
983,lsw,4223
984,fjb,936
985,wnx,2708
986,msr,845
987,rkq,3699
988,xfx,4602
989,whk,250
990,czq,2877
991,kls,4746
992,sqm,3016
993,qps,2741
994,kfj,774
995,sth,1750
996,bhg,4658
997,ckp,837
998,kdn,4594
999,fby,839
1000,fsz,2374
1001,tnz,3644
1002,fsg,4097
1003,lzx,2089
1004,fwm,518
1005,pbc,795
1006,wgp,3487
1007,jtp,2312
1008,mxw,4210
1009,ndy,1468
1010,zyx,1608
1011,qcs,1577
1012,cfw,1944
1013,dwy,869
1014,ppm,2785
1015,tqj,4843
1016,wtn,1560
1017,qmz,2750
1018,crg,931
1019,wdn,3702
1020,xjr,2957
1021,fmc,424
1022,mlb,1281
1023,bjr,2913
1024,bgd,3093
1025,rpw,729
1026,wqr,4671
1027,jyh,454
1028,pkz,1864
1029,bdp,4973
1030,yth,1199
1031,nrc,4130
1032,gsd,2048
1033,xyg,2611
1034,kgc,1138
1035,jyk,3900
1036,fhw,1196
1037,klw,249
1038,frw,4520
1039,hpr,1303
1040,wkr,3794
1041,cxt,3034
1042,tlq,747
1043,fsf,4150
1044,grf,363
1045,nwq,656
1046,hlf,4590
1047,wcl,910
1048,jsn,1655
1049,dsm,4454
1050,xqs,3009
1051,kyr,4229
1052,kjf,213
1053,rlm,3463
1054,gnm,4848
1055,gnk,2645
1056,bpq,1093
1057,wqs,1129
1058,tzc,160
1059,hfh,3249
1060,ncm,2321
1061,qlt,2625
1062,llc,2024
1063,ywq,1349
1064,qcd,4643
1065,zgw,2786
1066,zjs,4909
1067,wgq,1861
1068,pfw,1013
1069,kql,3788
1070,pyg,1790
1071,rzx,1243
1072,xpt,2350
1073,dlz,1591
1074,dmt,4714
1075,mts,2800
1076,xgc,2113
1077,gmc,1724
1078,zdr,4555
1079,lxq,228
1080,zqk,4722
1081,tmb,3860
1082,bjy,3069
1083,xcb,44
1084,rgn,1582
1085,pfl,3904
1086,lqr,25
1087,wms,3074
1088,nlc,3020
1089,hbt,4723
1090,gtb,4289
1091,fqz,4269
1092,kqz,724
1093,wyw,4010
1094,cql,1343
1095,qsz,4652
1096,tyk,4737
1097,qrw,488
1098,skg,2553
1099,pkb,547
1100,dmx,3917
1101,nnr,4544
1102,kgq,4235
1103,bsc,3803
1104,sqx,1807
1105,nnf,3149
1106,hzp,3901
1107,ffs,1275
1108,gxk,2933
1109,ssg,4251
1110,kmk,723
1111,wyh,2237
1112,lbt,2205
1113,dks,1278
1114,lkk,4946
1115,wsh,3492
1116,jrm,2145
1117,ndc,3946
1118,hgk,1551
1119,wmq,2280
1120,tzm,3966
1121,xmf,3102
1122,cwf,2738
1123,lfy,882
1124,kdq,2221
1125,pgw,1273
1126,pbf,320
1127,lby,2261
1128,qcp,1399
1129,dls,4819
1130,yjz,2186
1131,mrw,3516
1132,srj,293
1133,cyb,1986
1134,tjn,3172
1135,nbm,1552
1136,pbm,3201
1137,fmt,40
1138,myp,2164
1139,thn,836
1140,qxp,139
1141,tzh,1340
1142,kbw,3384
1143,jgp,1935
1144,qzj,2418
1145,wwq,3797
1146,hkp,3838
1147,txz,2161
1148,wwt,4557
1149,wyz,2918
1150,jgs,4834
1151,cck,1398
1152,wgh,1567
1153,scc,2165
1154,zdt,605
1155,wph,294
1156,ymh,2413
1157,dqy,1086
1158,npg,3707
1159,hzm,3073
1160,mzz,2633
1161,kwd,2223
1162,zkk,169
1163,chd,4255
1164,bhb,2917
1165,hrf,1543
1166,ncz,200
1167,lmp,4425
1168,rkm,1332
1169,brn,2717
1170,lkj,4790
1171,wnf,4073
1172,ytn,1699
1173,tbl,4152
1174,hhl,2223
1175,pjp,35
1176,htg,3030
1177,jxl,3041
1178,fpm,3596
1179,dpc,434
1180,yzm,3732
1181,rmg,298
1182,bpt,3818
1183,fhm,1045
1184,mql,15
1185,fks,3414
1186,twc,3891
1187,njj,3057
1188,wjm,1193
1189,jrt,1230
1190,jhm,2704
1191,rbl,538
1192,xql,3670
1193,blm,412
1194,fzw,3603
1195,shh,2363
1196,kbg,36
1197,twz,3277
1198,rqb,1025
1199,qnn,1863
1200,dxf,209
1201,sjk,4878
1202,fyc,4590
1203,yjf,121
1204,gmh,4910
1205,wbs,2836
1206,zxd,1748
1207,lgy,1578
1208,ktd,2852
1209,mpr,4145
1210,xgn,465
1211,kww,1784
1212,mks,2738
1213,dsr,202
1214,jcr,4728
1215,kcs,4781
1216,krw,1042
1217,crz,2147
1218,sqw,1937
1219,kyl,4046
1220,swg,2567
1221,brp,3296
1222,mzx,3024
1223,mct,1232
1224,lpz,2578
1225,clm,1862
1226,xfl,3493
1227,jzy,981
1228,dkr,3717
1229,gqm,4897
1230,bkf,4808
1231,nzw,1506
1232,hfl,1825
1233,ybw,4047
1234,frt,3218
1235,zqx,1533
1236,mfq,3772
1237,sjj,1643
1238,yyq,2211
1239,npd,1819
1240,hsq,1853
1241,ypy,4587
1242,cfy,2175
1243,mdl,464
1244,cfr,3238
1245,lbw,2306
1246,jxj,2123
1247,pcn,1820
1248,gkd,2708
1249,bgm,4538
1250,clq,1000
1251,djp,2607
1252,hgf,2669
1253,cgy,3310
1254,kcs,553
1255,ntr,116
1256,gbz,4978
1257,cnn,513
1258,pnt,114
1259,hlj,1729
1260,pxy,3817
1261,djr,4223
1262,bkd,1326
1263,rcx,3516
1264,twf,1372
1265,tzf,4523
1266,qjz,3756
1267,rsx,2921
1268,ffm,2910
1269,jpk,4691
1270,lht,4007
1271,kps,1557
1272,mpx,3296
1273,wyd,3921
1274,pbl,4598
1275,cyg,1016
1276,wtr,708
1277,njk,1020
1278,csy,1048
1279,dpf,2441
1280,ftt,1940
1281,ccx,4533
1282,qbh,4159
1283,ppn,3784
1284,fkg,1111
1285,hxh,1097
1286,hcz,3665
1287,kzm,2105
1288,xkg,4774
1289,txz,3135
1290,dwj,1207
1291,zcj,1774
1292,bss,1249
1293,dpp,3354
1294,cxf,1294
1295,jld,2009
1296,gcl,2955
1297,qcj,1731
1298,cft,2075
1299,jtf,1232
1300,mjc,689
1301,csy,172
1302,wdy,4543
1303,jsm,2144
1304,fwm,4834
1305,cdd,1136
1306,dkn,4014
1307,bcr,3695
1308,nwb,256
1309,byw,1206
1310,ygq,4382
1311,zxq,4371
1312,zjh,3419
1313,mcx,1545
1314,zkb,2648
1315,cdn,3730
1316,rtq,3221
1317,dfj,3186
1318,gng,643
1319,bpb,1239
1320,kcn,3134
1321,xls,1207
1322,qwl,4431
1323,yrt,3644
1324,ynd,3474
1325,hbq,1859
1326,qwj,444
1327,dpb,4902
1328,bxr,4226
1329,zwm,2251
1330,xpp,3487
1331,btd,275
1332,ltt,4094
1333,bkf,3140
1334,xxc,2054
1335,zhr,71
1336,bnc,3383
1337,nsm,37
1338,zct,1293
1339,tny,4204
1340,rxq,4658
1341,ypq,4594
1342,rjf,4617
1343,xky,1826
1344,hsy,1580
1345,xgs,732
1346,cwt,4581
1347,nqr,3946
1348,tjd,1684
1349,gfq,3052
1350,tcw,4689
1351,xxp,4669
1352,sbg,4493
1353,gzn,4698
1354,srp,4749
1355,ygh,1643
1356,cjq,4299
1357,pcn,3293
1358,fjp,102
1359,cqg,664
1360,yrt,4899
1361,nqj,2041
1362,rsm,975
1363,tpw,1597
1364,nls,235
1365,wsk,2089
1366,jbz,3154
1367,tmx,570
1368,ywt,3883
1369,tmr,2951
1370,lmw,3461
1371,ggw,132
1372,kdn,586
1373,jff,2276
1374,pcg,1641
1375,ygh,4705
1376,tnl,3122
1377,dzn,3318
1378,xmd,3561
1379,wgp,1447
1380,wsz,3048
1381,mls,1190
1382,pzt,3384
1383,yqf,2182
1384,bdb,3152
1385,bld,1750
1386,qbx,2057
1387,gcc,3293
1388,bxd,4230
1389,hjx,738
1390,nzx,4141
1391,tmj,1120
1392,tql,912
1393,pqr,3161
1394,tgf,2454
1395,swm,4844
1396,mfr,1906
1397,hrj,3243
1398,rsq,3898
1399,wsd,2294
1400,nnp,4572
1401,rnt,1139
1402,lyb,1690
1403,rcg,3514
1404,ndx,1622
1405,jwq,523
1406,htm,732
1407,lrq,888
1408,dbw,3188
1409,cnk,3616
1410,yln,1024
1411,kbm,551
1412,rrn,4150
1413,wdl,22
1414,kmz,1451
1415,dfh,397
1416,lsx,4804
1417,tls,162
1418,mlm,1274
1419,xbj,3345
1420,wpt,4222
1421,tjj,4091
1422,jpb,639
1423,nrb,1263
1424,dpz,1788
1425,pxk,1312
1426,szs,838
1427,gfg,2525
1428,qzg,2781
1429,dhp,4486
1430,cbn,3072
1431,yld,917
1432,xdh,1262
1433,xnb,2100
1434,ghn,2176
1435,hzm,1706
1436,bfs,1504
1437,rqw,4568
1438,pby,4544
1439,hbz,2616
1440,zzy,2086
1441,jyc,3331
1442,dnx,226
1443,ljx,529
1444,jts,3963
1445,xxq,4418
1446,nfg,4066
1447,chk,4812
1448,nfg,4200
1449,xjb,2678
1450,jgc,621
1451,zbq,3158
1452,lhg,3499
1453,pqs,3439
1454,zxg,4860
1455,cts,2030
1456,cdq,3147
1457,grh,4767
1458,lcn,2362
1459,ttz,191
1460,bkp,1307
1461,sqz,4504
1462,pfr,2507
1463,bqr,47
1464,blz,2556
1465,bjz,1154
1466,tcp,4245
1467,nqs,2232
1468,msw,4753
1469,rkj,2530
1470,ncn,1920
1471,slt,2271
1472,wrl,1765
1473,xqj,4202
1474,dgd,128
1475,qfk,3401
1476,hbz,4780
1477,xmw,4861
1478,cry,536
1479,dqj,170
1480,dqd,395
1481,tpf,2112
1482,bgs,2712
1483,wlh,2486
1484,xhx,1767
1485,gyz,3438
1486,krm,4731
1487,zmk,4794
1488,cyg,3096
1489,qzr,593
1490,qwd,2463
1491,ttn,176
1492,skx,1866
1493,hkw,4469
1494,pcc,1401
1495,tcw,3415
1496,hrp,1910
1497,kqp,1304
1498,fsn,1901
1499,bzg,2230
1500,nyf,224
1501,yff,343
1502,crm,641
1503,rjm,452
1504,mcn,903
1505,scs,2788
1506,qcx,1143
1507,htd,2820
1508,knk,114
1509,mwh,4555
1510,grj,373
1511,dpt,959
1512,swk,86
1513,qqn,4072
1514,xyk,1855
1515,mtn,3228
1516,yhg,2965
1517,dgr,3908
1518,whs,4223
1519,xlp,1701
1520,cgj,1170
1521,cwx,3591
1522,gzf,3755
1523,psb,3976
1524,sfp,2329
1525,hdd,4392
1526,jky,1844
1527,dlk,3907
1528,psy,947
1529,snp,466
1530,rzh,4858
1531,yyr,871
1532,tcp,4445
1533,dyf,772
1534,tdl,1324
1535,ctz,1815
1536,jcm,3125
1537,hnh,3412
1538,wmc,173
1539,rqc,1054
1540,mwc,4092
1541,lfj,3340
1542,gyz,4984
1543,tcz,1678
1544,kfy,2956
1545,zdy,717
1546,mcb,2436
1547,qbb,1445
1548,znh,2958
1549,mxl,1081
1550,kck,319
1551,rcx,755
1552,lhy,1482
1553,sdr,4363
1554,qjf,2736
1555,fcn,2693
1556,cxj,393
1557,qqc,716
1558,dxt,2304
1559,dfs,985
1560,wtk,4216
1561,ntr,7
1562,pmf,2335
1563,jcm,2545
1564,njp,1822
1565,dpd,3549
1566,gxg,814
1567,fby,2343
1568,wqz,1571
1569,rqm,3739
1570,fyb,4094
1571,lyr,1448
1572,nwn,2575
1573,kst,3324
1574,ldg,2469
