"ORDER_ID","ITEM_ID","PRODUCT_ID","QUANTITY","UNIT_PRICE"
94,3,218,86,138889
105,4,138,80,64599
1,5,138,131,64599
2,2,265,121,143199
3,3,28,63,47999
5,3,216,82,86398
6,2,138,41,64599
8,5,284,118,5499
12,5,208,133,119999
13,3,240,80,180597
15,4,239,71,73999
19,4,259,46,8072
21,3,250,120,33899
22,5,160,59,190873
23,3,210,80,102999
24,3,47,51,237709
25,5,235,45,4199
27,5,118,122,69989
28,5,27,99,80074
29,5,258,137,5798
30,3,260,37,26799
32,2,142,130,299889
35,3,211,87,106499
38,5,209,149,119999
40,5,98,149,206499
41,5,179,83,31267
46,5,181,94,99999
55,3,260,79,26799
57,4,164,114,1850
58,5,62,143,78979
59,5,203,117,67138
60,5,278,114,67799
67,5,80,129,56489
68,5,108,150,84999
69,4,82,58,149989
74,3,242,61,175199
75,5,192,37,51999
76,5,89,133,74999
78,5,181,37,99999
82,3,254,121,11999
89,5,44,55,4937
91,5,272,111,107399
94,4,80,133,56489
1,6,126,95,64099
2,3,195,39,105599
3,4,64,46,52599
5,4,31,77,44372
12,6,236,114,74532
13,4,30,60,6452
14,3,231,87,44999
15,5,230,92,13669
18,3,93,83,211672
19,5,107,106,644
22,6,56,43,1699
23,4,116,74,73199
25,6,28,85,47999
27,6,29,133,64599
29,6,30,75,6452
30,4,237,50,74498
31,3,191,147,57399
38,6,278,76,67799
39,4,53,128,100398
40,6,273,82,44364
41,6,287,112,32999
46,6,60,80,5999
47,4,33,98,5265
58,6,213,77,146996
59,6,154,126,120498
65,4,248,42,277498
66,4,103,88,80999
68,6,13,141,70499
69,5,278,71,67799
70,3,102,84,204269
74,4,106,82,60895
75,6,95,81,10999
76,6,167,46,101046
78,6,206,145,4139
81,2,241,134,1756
82,4,157,113,38899
87,4,127,59,71999
89,6,122,140,72299
91,6,123,37,317744
92,3,65,132,119999
95,3,271,69,54959
99,2,118,37,69989
1,7,30,41,6452
2,4,18,49,799
3,5,107,112,644
4,2,137,75,46999
5,5,31,78,44372
9,5,145,58,287
10,3,182,83,94989
12,7,141,110,41999
13,5,167,89,101046
15,6,253,83,57999
19,6,103,105,80999
22,7,17,60,69901
23,5,5,59,229079
26,3,279,71,131899
27,7,155,51,58895
29,7,166,103,163889
30,5,43,68,29898
31,4,226,34,30985
34,2,131,113,27999
38,7,49,139,149999
39,5,38,144,119999
40,7,258,99,5798
41,7,25,101,10488
42,2,10,147,81199
44,3,271,37,54959
46,7,155,114,58895
47,5,149,123,28298
59,7,152,82,28098
61,5,15,32,72599
66,5,174,66,79826
67,6,108,82,84999
70,4,82,139,149989
74,5,3,101,79999
75,7,106,74,60895
76,7,196,125,109999
79,4,63,146,57296
81,3,69,104,67875
82,5,48,59,12185
83,5,101,122,63599
84,3,269,147,75999
87,5,265,74,143199
90,4,93,146,211672
91,7,118,113,69989
92,4,110,111,319297
95,4,86,123,80498
97,4,33,67,5265
99,3,84,98,4403
101,4,284,52,5499
102,2,95,117,10999
103,2,258,142,5798
1,8,170,129,38398
2,5,160,30,190873
3,6,36,81,129999
4,3,7,140,68099
8,6,127,34,71999
9,6,14,48,70499
10,4,172,133,35849
12,8,256,85,2699
13,6,1,127,64099
16,5,45,80,250169
19,7,30,94,6452
21,4,1,135,64099
22,8,222,99,75498
23,6,169,40,184489
27,8,71,127,660
29,8,10,81,81199
31,5,79,56,65999
32,3,73,134,799
34,3,39,100,30199
36,5,255,143,9099
37,3,147,100,28398
39,6,20,112,71999
40,8,31,30,44372
42,3,249,76,266072
44,4,158,100,200946
46,8,123,116,317744
54,2,4,136,269999
58,7,108,49,84999
61,6,5,50,229079
67,7,78,124,68699
70,5,124,106,59499
73,3,31,102,44372
75,8,24,82,6689
81,4,49,83,149999
82,6,180,56,27999
83,6,233,86,5999
84,4,95,36,10999
87,6,174,84,79826
90,5,73,129,799
91,8,196,102,109999
95,5,107,76,644
97,5,99,48,6806
98,2,48,44,12185
99,4,36,71,129999
101,5,150,36,28198
104,4,48,51,12185
105,5,103,77,80999
1,9,196,139,109999
2,6,182,95,94989
3,7,125,73,76899
4,4,287,60,32999
7,2,230,49,13669
8,7,16,135,88989
9,7,124,117,59499
10,5,218,68,138889
11,2,40,79,29989
12,9,282,117,80499
13,7,39,67,30199
14,4,114,40,82061
16,6,131,53,27999
18,4,91,141,225999
22,9,8,89,60199
23,7,286,36,234
24,4,24,59,6689
27,9,93,132,211672
28,6,210,120,102999
29,9,233,71,5999
32,4,30,105,6452
33,4,55,93,15099
34,4,143,106,40299
36,6,205,33,64999
39,7,185,101,87398
40,9,170,31,38398
43,5,86,114,80498
46,9,2,65,255499
53,3,9,106,89999
54,3,68,134,76611
57,5,132,77,55499
58,8,157,65,38899
61,7,52,45,167698
67,8,247,39,33999
69,6,3,46,79999
70,6,50,68,886799
75,9,20,34,71999
76,8,201,91,6535
81,5,55,144,15099
82,7,70,31,71099
83,7,18,49,799
84,5,87,119,75999
87,7,7,66,68099
89,7,76,109,62999
90,6,185,147,87398
94,5,181,143,99999
95,6,71,135,660
97,6,219,132,129973
99,5,200,58,62095
101,6,20,138,71999
104,5,281,85,86498
1,10,64,147,52599
2,7,204,100,68699
3,8,190,127,94899
4,5,20,80,71999
6,3,94,90,1555
10,6,64,96,52599
12,10,210,37,102999
13,8,1,95,64099
14,5,239,125,73999
15,7,83,118,82999
16,7,256,44,2699
18,5,87,103,75999
22,10,90,95,75999
23,8,241,126,1756
24,5,41,83,29989
26,4,164,78,1850
27,10,150,58,28198
30,6,4,82,269999
33,5,62,84,78979
34,5,68,37,76611
35,4,41,79,29989
39,8,179,102,31267
40,10,215,36,82989
41,8,21,31,74999
42,4,213,103,146996
43,6,235,86,4199
46,10,214,91,100979
58,9,136,134,82699
66,6,97,130,5987
68,7,189,139,649
69,7,79,49,65999
81,6,65,61,119999
82,8,213,56,146996
87,8,257,110,8495
89,8,151,127,28197
90,7,250,125,33899
92,5,114,112,82061
93,2,169,46,184489
94,6,4,111,269999
99,6,1,43,64099
101,7,102,123,204269
1,11,169,105,184489
2,8,141,97,41999
4,6,159,96,199449
6,4,258,145,5798
10,7,127,52,71999
12,11,169,114,184489
13,9,225,137,50398
14,6,188,79,48249
15,8,241,77,1756
16,8,138,142,64599
18,6,259,60,8072
19,8,91,130,225999
22,11,234,144,15099
23,9,14,86,70499
24,6,276,99,116399
26,5,151,36,28197
27,11,116,67,73199
30,7,155,64,58895
33,6,190,70,94899
42,5,252,85,49999
43,7,1,57,64099
45,2,66,126,39999
58,10,163,31,189999
60,6,51,79,226999
65,5,119,141,89999
66,7,49,78,149999
68,8,204,56,68699
87,9,121,142,72199
91,9,43,44,29898
92,6,164,91,1850
93,3,251,30,33781
94,7,172,37,35849
99,7,201,31,6535
1,12,226,103,30985
6,5,11,74,201511
10,8,18,124,799
12,12,96,120,14156
13,10,245,138,1699
14,7,113,32,70499
18,7,188,133,48249
19,9,63,83,57296
22,12,108,45,84999
23,10,187,110,35398
25,7,135,132,12788
27,12,92,105,2200
28,7,54,131,101999
29,10,76,62,62999
32,5,85,148,127499
33,7,18,41,799
36,7,152,45,28098
42,6,78,47,68699
43,8,169,73,184489
45,3,68,88,76611
57,6,164,44,1850
58,11,152,51,28098
59,8,287,96,32999
60,7,189,146,649
66,8,75,122,62404
67,9,91,138,225999
69,8,169,67,184489
73,4,45,54,250169
74,6,187,137,35398
75,10,72,86,58999
76,9,155,78,58895
87,10,76,96,62999
91,10,269,104,75999
92,7,108,104,84999
93,4,43,113,29898
94,8,258,73,5798
99,8,102,101,204269
104,6,51,139,226999
1,13,178,121,199989
4,7,262,79,144999
6,6,89,150,74999
8,8,100,68,9788
9,8,93,132,211672
10,9,119,107,89999
14,8,238,64,74178
16,9,135,76,12788
18,8,136,32,82699
19,10,200,93,62095
22,13,281,73,86498
25,8,2,65,255499
27,13,111,102,82737
28,8,40,105,29989
29,11,115,52,69999
31,6,171,103,38298
32,6,102,147,204269
33,8,13,75,70499
34,6,101,62,63599
35,5,186,41,144998
36,8,141,144,41999
39,9,144,125,28979
40,11,184,88,99999
41,9,55,61,15099
42,7,139,149,6592
46,11,89,119,74999
51,2,7,64,68099
53,4,177,96,175999
58,12,62,148,78979
59,9,154,82,120498
64,2,126,52,64099
65,6,262,118,144999
66,9,279,90,131899
67,10,239,45,73999
68,9,177,84,175999
69,9,261,55,150499
